StrainID,Population,Timepoint,Flagged?,Accession
REL766A,m5,0.5,,SRR2589054
REL766B,m5,0.5,,SRR2589055
REL968A,m5,1,,SRR2591046
REL968B,m5,1,,SRR2584893
REL1072A,m5,1.5,,SRR2584894
REL1072B,m5,1.5,,SRR2589057
REL1168A,m5,2,,SRR2589058
REL1168B,m5,2,,SRR2589059
REL2183A,m5,5,,SRR2584899
REL2183B,m5,5,,SRR2584900
REL4540A,m5,10,,SRR2589061
REL4540B,m5,10,,SRR2589062
REL7181A,m5,15,,SRR2591048
REL7181B,m5,15,,SRR2591049
REL8597A,m5,20,,SRR2584905
REL8597B,m5,20,,SRR2589064
REL10404,m5,30,,SRR2589065
REL10405,m5,30,,SRR2584908
REL10947,m5,40,,SRR2085290
REL10948,m5,40,,SRR2086039
REL11339,m5,50,,SRR2584927
REL11340,m5,50,,SRR2589067
REL767A,m6,0.5,,SRR2584929
REL767B,m6,0.5,,SRR2589068
REL969A,m6,1,,SRR2584931
REL969B,m6,1,,SRR2584932
REL1073A,m6,1.5,,SRR2591051
REL1073B,m6,1.5,,SRR2584934
REL1169A,m6,2,,SRR2589071
REL1169B,m6,2,,SRR2584936
REL2184A,m6,5,,SRR2584938
REL2184B,m6,5,,SRR2591052
REL4541A,m6,10,,SRR2591053
REL4541B,m6,10,,SRR2591054
REL7182A,m6,15,,SRR2584942
REL7182B,m6,15,,SRR2584943
REL8598A,m6,20,,SRR2589074
REL8598B,m6,20,,SRR2584978
REL10447,m6,30,,SRR2584979
REL10448,m6,30,,SRR2589077
REL11005,m6,40,,SRR2086041
REL11006,m6,40,,SRR2086042
REL11389,m6,50,,SRR2584407
REL11390,m6,50,,SRR2584406
