# Raw competition colony counts for all competitions included in analysis of epistasis between the first 5 beneficial mutations (rbs, topA, spoT, glmUS, pykF) to fix in Ara-1 LT population
# Fitness estimates from this file are summarized in 'genotype_fitness.txt', which should be used as the input file for R analysis and figure production scripts. 																							
#1 test strain - all compared against reference genotype REL607																				
#2 test strain genotype	(r=rbs, t=topA, s=spoT, g=glmUS, p=pykF)																			
#3 t0 count of test strain																								
#4 t0 count of reference strain																								
#5 t2 count of test strain																								
#6 t2 count of reference strain																								
#7 Malthusian parameter of test strain																							
#8 Malthusian parameter of reference strain																						
#9 Fitness of test strain relative to the reference strain																				
#10 Experimental block																								
#11 Container used for competition: well = 1 ml medium in 2 ml x 96 ml block; flask 10 ml in 50 ml Erlenmeyer flask																								


TC712	t	59	95	238	122	10.6051	9.4605	1.1210	2	wells														
TC712	t	93	118	280	114	10.3125	9.1759	1.1239	2	wells														
TC712	t	78	92	270	92	10.4521	9.2103	1.1348	2	wells														
TC712	t	61	95	236	101	10.5633	9.2716	1.1393	2	wells														
TC712	t	243	264	211	74	9.0691	7.9385	1.1424	5	flask														
TC712	t	91	114	382	125	10.6449	9.3025	1.1443	2	wells														
TC712	t	154	176	222	71	9.5761	8.3025	1.1534	5	flask														
TC712	t	181	152	231	50	9.4543	8.0985	1.1674	1	wells														
TC712	t	196	133	209	37	9.2746	7.9309	1.1694	1	wells														
TC712	t	164	147	167	39	9.2285	7.8835	1.1706	4	flask														
TC712	t	135	174	209	57	9.6474	8.0943	1.1919	4	flask														
TC712	t	43	93	309	101	11.1825	9.2929	1.2033	2	wells														
TC712	t	131	138	169	35	9.4650	7.8384	1.2075	1	wells														
TC712	t	132	180	214	55	9.6935	8.0247	1.2080	4	flask														
TC712	t	141	200	194	47	9.5294	7.7622	1.2277	5	flask														
TC712	t	109	155	235	47	9.9786	8.0171	1.2447	5	flask														
TC720	r	184	136	148	149	8.9926	9.3016	0.9668	1	wells														
TC720	r	202	139	201	189	9.2054	9.5176	0.9672	1	wells														
TC720	r	163	164	164	224	9.2165	9.5221	0.9679	4	flask														
TC720	r	190	132	150	135	8.9740	9.2328	0.9720	1	wells														
TC720	r	116	110	240	264	9.9374	10.0858	0.9853	2	wells														
TC720	r	94	92	232	257	10.1138	10.2376	0.9879	2	wells														
TC720	r	200	173	170	163	9.0478	9.1508	0.9887	3	wells														
TC720	r	90	95	192	226	9.9680	10.0770	0.9892	2	wells														
TC720	r	88	113	175	247	9.8978	9.9923	0.9905	2	wells														
TC720	r	180	150	198	165	9.3057	9.3057	1.0000	3	wells														
TC720	r	147	156	189	199	9.4617	9.4538	1.0008	3	wells														
